Metadata_data_name	Metadata_Predicted_Class	Metadata_Phenotypic_Value	UMAP0	UMAP1
mitocheck	Prometaphase	1.0	0.4339889	-1.8581975
mitocheck	Prometaphase	1.0	1.6724358	1.2454494
mitocheck	Prometaphase	1.0	-0.5093392	1.4779571
mitocheck	Prometaphase	1.0	-0.73173183	-1.2737585
mitocheck	Prometaphase	1.0	0.6678932	-2.0704048
mitocheck	Prometaphase	1.0	2.8292603	4.629892
mitocheck	Prometaphase	1.0	-0.95644397	0.9552055
mitocheck	Prometaphase	1.0	-0.38212562	0.6063847
mitocheck	Prometaphase	1.0	-0.87178004	0.04624446
mitocheck	Prometaphase	1.0	0.20392734	-0.76291555
mitocheck	Prometaphase	1.0	0.27159888	-0.78734696
mitocheck	Prometaphase	1.0	2.3418837	7.321316
mitocheck	Prometaphase	1.0	-1.2733377	1.7027538
mitocheck	Prometaphase	1.0	-0.81177926	0.2340468
mitocheck	Prometaphase	1.0	2.5761724	6.9992785
mitocheck	Prometaphase	1.0	2.9535062	5.2623763
mitocheck	Prometaphase	1.0	-0.25517088	-1.5042614
mitocheck	Prometaphase	1.0	-0.70646995	1.4449667
mitocheck	Prometaphase	1.0	-0.16303574	-0.98986864
mitocheck	Prometaphase	1.0	1.9722676	3.6195517
mitocheck	Prometaphase	1.0	0.23200876	-0.5524396
mitocheck	Prometaphase	1.0	1.7594427	7.2350135
mitocheck	Prometaphase	1.0	0.6715994	4.850752
mitocheck	Prometaphase	1.0	-0.9764105	1.0775431
mitocheck	Prometaphase	1.0	2.7051098	6.442344
mitocheck	Prometaphase	1.0	-0.22517765	0.17242545
mitocheck	Prometaphase	1.0	-0.16363189	1.2708006
mitocheck	Prometaphase	1.0	2.081809	7.5484633
mitocheck	Prometaphase	1.0	2.5680141	4.6446314
mitocheck	Prometaphase	1.0	0.25209543	-0.5817983
mitocheck	Prometaphase	1.0	3.3700442	5.744981
mitocheck	Prometaphase	1.0	2.8517435	6.4097295
mitocheck	Prometaphase	1.0	-0.20842116	-1.157281
mitocheck	Prometaphase	1.0	-0.31528747	1.1175615
mitocheck	Prometaphase	1.0	-0.75326985	-1.6772215
mitocheck	Prometaphase	1.0	0.36941478	0.060093276
mitocheck	Prometaphase	1.0	-0.90104234	-0.5377063
mitocheck	Prometaphase	1.0	-0.88737965	-0.8956823
mitocheck	Prometaphase	1.0	-0.46980986	-1.7414626
mitocheck	Prometaphase	1.0	-0.51199883	-1.2823333
mitocheck	Prometaphase	1.0	-0.78598106	-1.0536197
mitocheck	Prometaphase	1.0	-1.2627515	0.956036
mitocheck	Prometaphase	1.0	-0.50230294	-0.6303041
mitocheck	Prometaphase	1.0	-2.368676	2.1685822
mitocheck	Prometaphase	1.0	-0.74106205	-1.9500383
mitocheck	Prometaphase	1.0	-0.7213771	-0.95652145
mitocheck	Prometaphase	1.0	-0.69889283	-0.9091884
mitocheck	Prometaphase	1.0	-0.8538283	-0.61070114
mitocheck	Prometaphase	1.0	-0.6739365	-1.4379115
mitocheck	Prometaphase	1.0	0.34533957	1.191102
mitocheck	Prometaphase	1.0	-0.21159044	-1.7334472
mitocheck	Prometaphase	1.0	-0.6874051	1.2381859
mitocheck	Prometaphase	1.0	0.8434499	8.922307
mitocheck	Prometaphase	1.0	-0.6403856	1.2641312
mitocheck	Prometaphase	1.0	-2.4905684	3.8487537
mitocheck	Prometaphase	1.0	-1.1828033	1.1179736
mitocheck	Prometaphase	1.0	-0.9881589	3.3689895
mitocheck	Prometaphase	1.0	0.26794323	-0.22821465
mitocheck	Prometaphase	1.0	-0.8236987	1.9340028
mitocheck	Prometaphase	1.0	-1.3123822	5.562378
mitocheck	Prometaphase	1.0	-0.19981767	1.1828092
mitocheck	Prometaphase	1.0	-1.7729743	1.0391989
mitocheck	Prometaphase	1.0	-0.8636515	-0.75198627
mitocheck	Prometaphase	1.0	-0.9893242	4.340611
mitocheck	Prometaphase	1.0	-1.4938205	2.9534945
mitocheck	Prometaphase	1.0	0.111669295	1.2847407
mitocheck	Prometaphase	1.0	-0.97262746	-0.1910196
mitocheck	Prometaphase	1.0	-1.4806843	1.9958043
mitocheck	Prometaphase	1.0	1.0989852	0.07656612
mitocheck	Prometaphase	1.0	-1.3619351	3.2877984
mitocheck	Prometaphase	1.0	0.4581461	1.5708572
mitocheck	Prometaphase	1.0	-1.1153684	4.6738963
mitocheck	Prometaphase	1.0	0.49077517	1.4924276
mitocheck	Prometaphase	1.0	-0.22747403	4.083291
mitocheck	Prometaphase	1.0	0.757008	-2.2039337
mitocheck	Prometaphase	1.0	-1.3469757	1.0538864
mitocheck	Prometaphase	1.0	-0.034033217	1.4949822
mitocheck	Prometaphase	1.0	-0.028056404	-0.64786386
mitocheck	Prometaphase	1.0	-1.7495185	1.4007511
mitocheck	Prometaphase	1.0	-1.6047046	0.8252985
mitocheck	Prometaphase	1.0	-0.23881783	1.1481981
mitocheck	Prometaphase	1.0	-0.6161226	2.6752684
mitocheck	Prometaphase	1.0	-2.189503	1.1206875
mitocheck	Prometaphase	1.0	-0.9670755	1.3537632
mitocheck	Prometaphase	1.0	-0.59240013	1.6655476
mitocheck	Prometaphase	1.0	0.27931407	2.5126157
mitocheck	Prometaphase	1.0	-0.932754	4.100212
mitocheck	Prometaphase	1.0	-1.4364156	1.4781651
mitocheck	Prometaphase	1.0	-1.1367704	1.0994942
mitocheck	Prometaphase	1.0	-1.4800011	5.7211814
mitocheck	Prometaphase	1.0	0.50015545	0.25556266
mitocheck	Prometaphase	1.0	0.5277375	2.266259
mitocheck	Prometaphase	1.0	0.40663576	2.1831279
mitocheck	Prometaphase	1.0	-1.4552646	3.4162695
mitocheck	Prometaphase	1.0	-1.8417659	1.1732378
mitocheck	Prometaphase	1.0	-0.69143945	2.8543737
mitocheck	Prometaphase	1.0	1.0841615	-2.0372508
mitocheck	Prometaphase	1.0	-0.10467417	1.1511444
mitocheck	Prometaphase	1.0	-0.9383395	1.2666162
mitocheck	Prometaphase	1.0	1.4060616	-0.5614158
mitocheck	Prometaphase	1.0	-1.7708725	0.31866106
mitocheck	Prometaphase	1.0	0.91851735	1.1676016
